sector.name,subsector.name0,subsector.name,year,input.OM.var,OM.var,technology
base load generation,coal,coal_base_conv pul 1991-1995,1990,OM-var,2.12,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1991-1995,1990,OM-var,2.12,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1991-1995,1990,OM-var,2.12,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1991-1995,1990,OM-var,2.12,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1991-1995,1990,OM-var,2.12,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1996-2000,1990,OM-var,2.12,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1996-2000,1990,OM-var,2.12,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1996-2000,1990,OM-var,2.12,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1996-2000,1990,OM-var,2.12,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1996-2000,1990,OM-var,2.12,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 2001-2005,1990,OM-var,2.12,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 2001-2005,1990,OM-var,2.12,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 2001-2005,1990,OM-var,2.12,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 2001-2005,1990,OM-var,2.12,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 2001-2005,1990,OM-var,2.12,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 2006-2010,1990,OM-var,2.12,coal (conv pul) (once through)
